job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,job_title_encoded,experience_level_encoded,employment_type_encoded,work_models_encoded,employee_residence_encoded,salary_currency_encoded,company_location_encoded,company_size_encoded
65,1,2,1,2024,84,175762,20,175762,73,1,65,1,2,1,84,20,73,1
65,1,2,1,2024,84,97254,20,97254,73,1,65,1,2,1,84,20,73,1
13,3,2,2,2024,84,218213,20,218213,73,1,13,3,2,2,84,20,73,1
13,3,2,2,2024,84,178538,20,178538,73,1,13,3,2,2,84,20,73,1
125,2,2,1,2024,84,440000,20,440000,73,1,125,2,2,1,84,20,73,1
125,2,2,1,2024,84,295000,20,295000,73,1,125,2,2,1,84,20,73,1
125,2,2,1,2024,84,118600,20,118600,73,1,125,2,2,1,84,20,73,1
125,2,2,1,2024,84,96800,20,96800,73,1,125,2,2,1,84,20,73,1
73,2,2,1,2024,84,198800,20,198800,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,90700,20,90700,73,1,73,2,2,1,84,20,73,1
46,3,2,1,2024,84,145000,20,145000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,115000,20,115000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,269100,20,269100,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,131300,20,131300,73,1,46,3,2,1,84,20,73,1
125,2,2,1,2024,84,245000,20,245000,73,1,125,2,2,1,84,20,73,1
36,0,2,1,2024,84,99900,20,99900,73,1,36,0,2,1,84,20,73,1
36,0,2,1,2024,84,83000,20,83000,73,1,36,0,2,1,84,20,73,1
125,2,2,1,2024,84,240960,20,240960,73,1,125,2,2,1,84,20,73,1
125,2,2,1,2024,84,190000,20,190000,73,1,125,2,2,1,84,20,73,1
43,3,2,1,2024,84,178600,20,178600,73,1,43,3,2,1,84,20,73,1
43,3,2,1,2024,84,67200,20,67200,73,1,43,3,2,1,84,20,73,1
